9,Belcar Plateau,50,150,500,150,500,150,500,1200,C1,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
10,Plague Forest,50,150,500,150,500,150,500,1200,6000,C1,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
11,Red Ridge,50,150,500,150,500,150,500,1200,6000,15400,C1,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
12,Southern Island,50,150,500,150,500,150,500,1200,6000,15400,1200,C1,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
13,Angoya Island,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,C1,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
14,Ancient Forest,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,C1,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
15,Black Swamp,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,C1,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
16,Bone Reef Peninsula,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,C1,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
17,Land of Sighs,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,C1,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
18,Misty Wetlands,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,C1,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
19,Gaia Woodlands,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,C1,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
20,Scorching Wind Desert,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,C1,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
21,Lost Highlands,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,C1,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
22,Blakatoa Range,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,C1,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
23,Prism Island Prairie,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,C1,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
24,Twin Lion Mountain,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,C1,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
25,Knight Valley,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,C1,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
26,Eternal Mountains,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,C1,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
27,Oblivion Border,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,C1,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
28,Winterflake Forest,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,C1,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
29,Ancient Polar Ruins,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,C1,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
30,Auris Bay,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,C1,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
31,Spirit Valley,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,C1,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,100,100,100,100
32,Misty Plateau,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,C1,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,100,100,100,100
33,Golden Sandbar,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,C1,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,100,100,100,100
34,Aurawhisp Hamlet,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,C1,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,200,200,200,200
35,Frostfire Pass,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,C1,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,200,200,200,200
36,Heirloom Peninsula,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,C1,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,200,200,200,200
37,Blood Soaked Bay,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,C1,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,400,400,400,400
38,Sprite Tear Forest,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,C1,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,400,400,400,400
39,Kaslow Wilderness,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,C1,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,400,400,400,400
41,Sorrow Peninsula,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,C1,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,500,500,500,500
42,Glazefrost Mountains,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,C1,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,500,500,500,500
43,Dreamer's Plateau,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,C1,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,500,500,500,500
44,Vapor Vale,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,C1,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,600,600,600,600
45,Dazzledell Hollow,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,C1,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,600,600,600,600
46,Port Riptide,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,C1,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,600,600,600,600
47,Alt. Dimension - Ironwheel Beach,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,C1,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,600,600,600,600
48,Alt. Dimension - Steam Mine Mountain,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,C1,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,600,600,600,600
49,Alt. Dimension - Red Ridge,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,C1,236600,280000,330000,236600,280000,330000,236600,280000,330000,600,600,600,600
50,Alternate Sprites' Forest,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,C1,280000,330000,236600,280000,330000,236600,280000,330000,600,600,600,600
51,Alternate Plague Forest,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,C1,330000,236600,280000,330000,236600,280000,330000,600,600,600,600
52,Alternate Kaslow Plains,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,C1,236600,280000,330000,236600,280000,330000,600,600,600,600
53,Alternate Dimension - Gaia Woodlands,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,C1,280000,330000,236600,280000,330000,600,600,600,600
54,Alternate Dimension,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,C1,330000,236600,280000,330000,600,600,600,600
55,Alternate Dimension Forest - Ancient Forest,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,C1,236600,280000,330000,600,600,600,600
56,Alternate Dimension - Knight Valley,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,C1,280000,330000,600,600,600,600
57,Alternate Dimension - Auris Bay,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,C1,330000,600,600,600,600
58,Alternate Dimension - Ancient Polar Ruins,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,C1,600,600,600,600
100,Kaslow,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
101,Ilya,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
102,Jale,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
601,Guild Base,50,150,500,150,500,150,500,1200,6000,15400,1200,6000,15400,1200,6000,15400,22400,30600,40000,22400,30600,40000,52800,52800,67200,67200,83200,83200,100800,100800,100800,120000,120000,158000,158000,158000,83200,120000,158000,158000,197300,236600,236600,280000,330000,83200,120000,158000,236600,280000,330000,236600,280000,330000,236600,280000,330000,50,50,50,50
